INFO : Video Imported: C:\Users\User\Documents\GitHub\TrackerNew\Tracker\Rat1faildetect.mp4
INFO : Recording Trial 1
INFO : Rat not detected
INFO : 00:00:9.360 : The rat position is: (379, 232)
INFO : 00:00:9.360 : The rat position after failed is: (379, 232)
INFO : 00:00:9.400 : The rat position is: (379, 233)
INFO : 00:00:9.400 : The rat position after failed is: (379, 233)
INFO : 00:00:9.440 : The rat position is: (379, 233)
INFO : 00:00:9.440 : The rat position after failed is: (379, 233)
INFO : 00:00:9.480 : The rat position is: (379, 233)
INFO : 00:00:9.480 : The rat position after failed is: (379, 233)
INFO : 00:00:9.520 : The rat position is: (379, 233)
INFO : 00:00:9.520 : The rat position after failed is: (379, 233)
INFO : 00:00:9.560 : The rat position is: (379, 233)
INFO : 00:00:9.560 : The rat position after failed is: (379, 233)
INFO : 00:00:9.600 : The rat position is: (379, 234)
INFO : 00:00:9.600 : The rat position after failed is: (379, 234)
INFO : 00:00:9.640 : The rat position is: (379, 234)
INFO : 00:00:9.640 : The rat position after failed is: (379, 234)
INFO : 00:00:9.680 : The rat position is: (378, 235)
INFO : 00:00:9.680 : The rat position after failed is: (378, 235)
INFO : 00:00:9.720 : The rat position is: (378, 235)
INFO : 00:00:9.720 : The rat position after failed is: (378, 235)
INFO : 00:00:9.760 : The rat position is: (379, 232)
INFO : 00:00:9.760 : The rat position after failed is: (379, 232)
INFO : 00:00:9.800 : The rat position is: (374, 238) @ 323
INFO : 00:00:9.800 : The rat position after failed is: (374, 238)
INFO : 00:00:9.840 : The rat position is: (374, 238) @ 323
INFO : 00:00:9.840 : The rat position after failed is: (374, 238)
INFO : 00:00:9.880 : The rat position is: (376, 234) @ 323
INFO : 00:00:9.880 : The rat position after failed is: (376, 234)
INFO : 00:00:9.920 : The rat position is: (376, 234) @ 323
INFO : 00:00:9.920 : The rat position after failed is: (376, 234)
INFO : 00:00:9.960 : The rat position is: (378, 232) @ 323
INFO : 00:00:9.960 : The rat position after failed is: (378, 232)
INFO : 00:00:10.000 : The rat position is: (378, 232) @ 323
INFO : 00:00:10.000 : The rat position after failed is: (378, 232)
INFO : 00:00:10.040 : The rat position is: (380, 229) @ 323
INFO : 00:00:10.040 : The rat position after failed is: (380, 229)
INFO : 00:00:10.080 : The rat position is: (378, 232) @ 323
INFO : 00:00:10.080 : The rat position after failed is: (378, 232)
INFO : 00:00:10.120 : The rat position is: (378, 232) @ 323
INFO : 00:00:10.120 : The rat position after failed is: (378, 232)
INFO : 00:00:10.160 : The rat position is: (378, 232) @ 323
INFO : 00:00:10.160 : The rat position after failed is: (378, 232)
INFO : 00:00:10.200 : The rat position is: (379, 231) @ 323
INFO : 00:00:10.200 : The rat position after failed is: (379, 231)
INFO : 00:00:10.240 : The rat position is: (380, 230) @ 323
INFO : 00:00:10.240 : The rat position after failed is: (380, 230)
INFO : 00:00:10.280 : The rat position is: (380, 229) @ 323
INFO : 00:00:10.280 : The rat position after failed is: (380, 229)
INFO : 00:00:10.320 : The rat position is: (380, 230) @ 323
INFO : 00:00:10.320 : The rat position after failed is: (380, 230)
INFO : 00:00:10.360 : The rat position is: (380, 229) @ 323
INFO : 00:00:10.360 : The rat position after failed is: (380, 229)
INFO : 00:00:10.400 : The rat position is: (380, 229) @ 323
INFO : 00:00:10.400 : The rat position after failed is: (380, 229)
INFO : 00:00:10.440 : The rat position is: (380, 230) @ 323
INFO : 00:00:10.440 : The rat position after failed is: (380, 230)
INFO : 00:00:10.480 : The rat position is: (380, 230) @ 323
INFO : 00:00:10.480 : The rat position after failed is: (380, 230)
INFO : 00:00:10.520 : The rat position is: (380, 229) @ 323
INFO : 00:00:10.520 : The rat position after failed is: (380, 229)
INFO : 00:00:10.560 : The rat position is: (380, 229) @ 323
INFO : 00:00:10.560 : The rat position after failed is: (380, 229)
INFO : Video Imported: C:\Users\User\Documents\GitHub\TrackerNew\Tracker\Rat1faildetect.mp4
INFO : Recording Trial 1
INFO : Rat not detected
INFO : 00:00:8.720 : The rat position is: (375, 239) @ 323
INFO : 00:00:8.720 : The rat position after failed is: (375, 239)
INFO : 00:00:8.760 : The rat position is: (376, 239) @ 323
INFO : 00:00:8.760 : The rat position after failed is: (376, 239)
INFO : 00:00:8.800 : The rat position is: (376, 238) @ 323
INFO : 00:00:8.800 : The rat position after failed is: (376, 238)
INFO : 00:00:8.840 : The rat position is: (376, 238) @ 323
INFO : 00:00:8.840 : The rat position after failed is: (376, 238)
