INFO : Video Imported: C:\Users\User\Documents\GitHub\tracker\Rat1faildetect.mp4
INFO : Recording Trial 1
INFO : Rat not detected
INFO : 00:00:8.760 : The rat position is: (376, 236)
INFO : 00:00:8.760 : The rat position after failed is: (376, 236)
INFO : 00:00:8.800 : The rat position is: (377, 235)
INFO : 00:00:8.800 : The rat position after failed is: (377, 235)
INFO : 00:00:8.840 : The rat position is: (377, 235)
INFO : 00:00:8.840 : The rat position after failed is: (377, 235)
INFO : 00:00:8.880 : The rat position is: (377, 235)
INFO : 00:00:8.880 : The rat position after failed is: (377, 235)
INFO : 00:00:8.920 : The rat position is: (377, 236)
INFO : 00:00:8.920 : The rat position after failed is: (377, 236)
INFO : 00:00:8.960 : The rat position is: (377, 236)
INFO : 00:00:8.960 : The rat position after failed is: (377, 236)
INFO : 00:00:9.000 : The rat position is: (377, 236)
INFO : 00:00:9.000 : The rat position after failed is: (377, 236)
INFO : 00:00:9.040 : The rat position is: (377, 236)
INFO : 00:00:9.040 : The rat position after failed is: (377, 236)
INFO : 00:00:9.080 : The rat position is: (377, 235)
INFO : 00:00:9.080 : The rat position after failed is: (377, 235)
INFO : 00:00:9.120 : The rat position is: (377, 235)
INFO : 00:00:9.120 : The rat position after failed is: (377, 235)
INFO : 00:00:9.160 : The rat position is: (377, 235)
INFO : 00:00:9.160 : The rat position after failed is: (377, 235)
INFO : 00:00:9.200 : The rat position is: (377, 235)
INFO : 00:00:9.200 : The rat position after failed is: (377, 235)
INFO : 00:00:9.240 : The rat position is: (377, 235)
INFO : 00:00:9.240 : The rat position after failed is: (377, 235)
INFO : 00:00:9.280 : The rat position is: (377, 235)
INFO : 00:00:9.280 : The rat position after failed is: (377, 235)
INFO : 00:00:9.320 : The rat position is: (377, 235)
INFO : 00:00:9.320 : The rat position after failed is: (377, 235)
INFO : Video Imported: C:\Users\User\Documents\GitHub\tracker\Rat1skipnode.mp4
INFO : Recording Trial 1
INFO : Rat not detected
INFO : 00:00:5.920 : The rat position is: (292, 573) @ 411
INFO : 00:00:5.920 : The rat position after failed is: (292, 573)
INFO : 00:00:5.960 : The rat position is: (293, 574) @ 411
INFO : 00:00:5.960 : The rat position after failed is: (293, 574)
INFO : 00:00:6.000 : The rat position is: (294, 575) @ 411
INFO : 00:00:6.000 : The rat position after failed is: (294, 575)
INFO : 00:00:6.040 : The rat position is: (295, 575) @ 411
INFO : 00:00:6.040 : The rat position after failed is: (295, 575)
INFO : 00:00:6.080 : The rat position is: (295, 576) @ 411
INFO : 00:00:6.080 : The rat position after failed is: (295, 576)
