INFO : Video Imported: C:\Users\User\Documents\GitHub\tracker\Rat12_1_20200605_stitched.mp4
INFO : Recording Trial 1
INFO : 00:00:12.280 : The rat position is: (1035, 344) @ 112
INFO : 00:00:12.280 : The rat position after failed is: (1035, 344)
INFO : 00:00:12.320 : The rat position is: (1034, 344) @ 112
INFO : 00:00:12.320 : The rat position after failed is: (1034, 344)
INFO : 00:00:12.360 : The rat position is: (1034, 344) @ 112
INFO : 00:00:12.360 : The rat position after failed is: (1034, 344)
INFO : 00:00:12.400 : The rat position is: (1033, 344) @ 112
INFO : 00:00:12.400 : The rat position after failed is: (1033, 344)
INFO : 00:00:12.440 : The rat position is: (1033, 344) @ 112
INFO : 00:00:12.440 : The rat position after failed is: (1033, 344)
INFO : 00:00:12.480 : The rat position is: (1027, 343) @ 112
INFO : 00:00:12.480 : The rat position after failed is: (1027, 343)
INFO : 00:00:12.520 : The rat position is: (1033, 346) @ 112
INFO : 00:00:12.520 : The rat position after failed is: (1033, 346)
INFO : 00:00:12.560 : The rat position is: (1032, 347) @ 112
INFO : 00:00:12.560 : The rat position after failed is: (1032, 347)
INFO : 00:00:12.600 : The rat position is: (1032, 347) @ 112
INFO : 00:00:12.600 : The rat position after failed is: (1032, 347)
INFO : 00:00:12.640 : The rat position is: (1032, 347) @ 112
INFO : 00:00:12.640 : The rat position after failed is: (1032, 347)
INFO : 00:00:12.680 : The rat position is: (1032, 346) @ 112
INFO : 00:00:12.680 : The rat position after failed is: (1032, 346)
INFO : 00:00:12.720 : The rat position is: (1031, 346) @ 112
INFO : 00:00:12.720 : The rat position after failed is: (1031, 346)
INFO : 00:00:12.760 : The rat position is: (1031, 346) @ 112
INFO : 00:00:12.760 : The rat position after failed is: (1031, 346)
INFO : 00:00:12.800 : The rat position is: (1030, 346) @ 112
INFO : 00:00:12.800 : The rat position after failed is: (1030, 346)
INFO : 00:00:12.840 : The rat position is: (1030, 346) @ 112
INFO : 00:00:12.840 : The rat position after failed is: (1030, 346)
INFO : 00:00:12.880 : The rat position is: (1041, 341) @ 112
INFO : 00:00:12.880 : The rat position after failed is: (1041, 341)
INFO : 00:00:12.920 : The rat position is: (1036, 342) @ 112
INFO : 00:00:12.920 : The rat position after failed is: (1036, 342)
INFO : 00:00:12.960 : The rat position is: (1034, 342) @ 112
INFO : 00:00:12.960 : The rat position after failed is: (1034, 342)
INFO : 00:00:13.000 : The rat position is: (1032, 342) @ 112
INFO : 00:00:13.000 : The rat position after failed is: (1032, 342)
INFO : 00:00:13.040 : The rat position is: (1032, 342) @ 112
INFO : 00:00:13.040 : The rat position after failed is: (1032, 342)
INFO : 00:00:13.080 : The rat position is: (1016, 348) @ 119
INFO : 00:00:13.080 : The rat position after failed is: (1016, 348)
INFO : 00:00:13.120 : The rat position is: (1023, 342) @ 119
INFO : 00:00:13.120 : The rat position after failed is: (1023, 342)
INFO : 00:00:13.160 : The rat position is: (1020, 342) @ 119
INFO : 00:00:13.160 : The rat position after failed is: (1020, 342)
INFO : 00:00:13.200 : The rat position is: (1015, 343) @ 119
INFO : 00:00:13.200 : The rat position after failed is: (1015, 343)
INFO : 00:00:13.240 : The rat position is: (1015, 343) @ 119
INFO : 00:00:13.240 : The rat position after failed is: (1015, 343)
INFO : 00:00:13.280 : The rat position is: (1009, 343) @ 119
INFO : 00:00:13.280 : The rat position after failed is: (1009, 343)
INFO : 00:00:13.320 : The rat position is: (1005, 341) @ 119
INFO : 00:00:13.320 : The rat position after failed is: (1005, 341)
INFO : 00:00:13.360 : The rat position is: (1005, 341) @ 119
INFO : 00:00:13.360 : The rat position after failed is: (1005, 341)
INFO : 00:00:13.400 : The rat position is: (997, 338) @ 119
INFO : 00:00:13.400 : The rat position after failed is: (997, 338)
INFO : 00:00:13.440 : The rat position is: (1012, 341) @ 119
INFO : 00:00:13.440 : The rat position after failed is: (1012, 341)
INFO : 00:00:13.480 : The rat position is: (993, 334) @ 119
INFO : 00:00:13.480 : The rat position after failed is: (993, 334)
INFO : 00:00:13.520 : The rat position is: (993, 334) @ 119
INFO : 00:00:13.520 : The rat position after failed is: (993, 334)
INFO : 00:00:13.560 : The rat position is: (991, 333) @ 119
INFO : 00:00:13.560 : The rat position after failed is: (991, 333)
INFO : 00:00:13.600 : The rat position is: (990, 330) @ 119
INFO : 00:00:13.600 : The rat position after failed is: (990, 330)
INFO : 00:00:13.640 : The rat position is: (988, 328) @ 119
INFO : 00:00:13.640 : The rat position after failed is: (988, 328)
INFO : 00:00:13.680 : The rat position is: (985, 322) @ 119
INFO : 00:00:13.680 : The rat position after failed is: (985, 322)
INFO : 00:00:13.720 : The rat position is: (985, 324) @ 119
INFO : 00:00:13.720 : The rat position after failed is: (985, 324)
INFO : 00:00:13.760 : The rat position is: (985, 324) @ 119
INFO : 00:00:13.760 : The rat position after failed is: (985, 324)
INFO : 00:00:13.800 : The rat position is: (984, 321) @ 118
